Date,open,close,low,high,volume
1/3/2023 12:00:00 AM,151.960007,148.470001,153.130005,150.039993,148.957687,1414300
1/4/2023 12:00:00 AM,151.649994,150.240005,153.039993,151.669998,150.575943,1247400
1/5/2023 12:00:00 AM,150.000000,148.770004,153.070007,152.110001,151.012756,1714600
1/6/2023 12:00:00 AM,154.360001,143.009995,154.639999,147.669998,146.604797,2445000
1/9/2023 12:00:00 AM,149.690002,147.199997,151.279999,147.470001,146.406219,1269600
1/10/2023 12:00:00 AM,150.179993,148.750000,155.550003,155.229996,154.110260,1565700
1/11/2023 12:00:00 AM,155.229996,155.229996,158.580002,158.169998,157.029037,1241900
1/12/2023 12:00:00 AM,158.160004,155.580002,158.600006,156.490005,155.361160,809100
1/13/2023 12:00:00 AM,155.539993,154.500000,157.279999,156.919998,155.788071,921700
1/17/2023 12:00:00 AM,156.679993,155.029999,158.110001,155.399994,154.279022,1602200
1/18/2023 12:00:00 AM,156.259995,153.639999,158.160004,154.070007,152.958633,1150700
1/19/2023 12:00:00 AM,153.580002,152.139999,154.919998,152.869995,151.767273,1017400
1/20/2023 12:00:00 AM,153.500000,152.410004,156.009995,155.919998,154.795273,1343700
1/23/2023 12:00:00 AM,156.000000,155.669998,159.589996,159.059998,157.912643,974900
1/24/2023 12:00:00 AM,156.270004,154.460007,158.509995,155.690002,154.566940,1121500
1/25/2023 12:00:00 AM,154.000000,152.830002,156.539993,155.759995,154.636414,736200
1/26/2023 12:00:00 AM,156.970001,155.190002,157.660004,156.229996,155.103027,776300
1/27/2023 12:00:00 AM,155.750000,154.809998,156.960007,155.690002,154.566940,646200
1/30/2023 12:00:00 AM,154.500000,150.880005,155.520004,151.740005,150.645432,1401100
1/31/2023 12:00:00 AM,151.610001,150.210007,153.460007,152.080002,150.982986,1995400
2/1/2023 12:00:00 AM,153.309998,151.720001,156.289993,155.449997,154.328659,1499900
2/2/2023 12:00:00 AM,156.660004,154.770004,157.309998,155.500000,154.378296,1725600
2/3/2023 12:00:00 AM,153.169998,152.740005,155.419998,154.550003,153.435165,992800
2/6/2023 12:00:00 AM,152.729996,151.360001,154.399994,152.240005,151.141846,771500
2/7/2023 12:00:00 AM,151.490005,151.130005,154.960007,154.509995,153.395432,1126700
2/8/2023 12:00:00 AM,153.639999,153.229996,155.169998,154.419998,153.306091,1073500
2/9/2023 12:00:00 AM,155.669998,151.539993,156.320007,152.380005,151.280807,852200
2/10/2023 12:00:00 AM,151.800003,151.070007,152.990005,152.550003,151.449600,934800
2/13/2023 12:00:00 AM,153.270004,152.009995,154.660004,154.600006,153.484802,925400
2/14/2023 12:00:00 AM,154.339996,151.449997,155.750000,153.039993,151.936050,895400
2/15/2023 12:00:00 AM,152.220001,150.300003,152.320007,151.750000,150.655365,982400
2/16/2023 12:00:00 AM,148.809998,147.229996,150.160004,148.279999,147.210373,1101700
2/17/2023 12:00:00 AM,147.259995,146.490005,148.940002,148.259995,147.190521,1194800
2/21/2023 12:00:00 AM,146.600006,142.630005,146.649994,143.419998,142.385437,1693800
2/22/2023 12:00:00 AM,143.369995,140.949997,143.440002,142.080002,141.055115,1691300
2/23/2023 12:00:00 AM,142.089996,141.309998,143.580002,143.199997,142.167023,1511500
2/24/2023 12:00:00 AM,141.460007,138.720001,142.240005,141.199997,140.181458,1522100
2/27/2023 12:00:00 AM,142.880005,141.809998,143.759995,142.179993,141.154373,1149600
2/28/2023 12:00:00 AM,141.750000,141.389999,143.380005,141.970001,140.945908,2342500
3/1/2023 12:00:00 AM,138.580002,136.250000,139.990005,137.509995,136.518082,3132800
3/2/2023 12:00:00 AM,136.300003,136.080002,141.720001,141.669998,140.648056,1879200
3/3/2023 12:00:00 AM,142.539993,141.979996,144.440002,143.929993,142.891769,1147800
3/6/2023 12:00:00 AM,143.350006,142.679993,145.440002,143.229996,142.196808,1153600
3/7/2023 12:00:00 AM,143.559998,140.229996,143.660004,140.330002,139.317734,1088400
3/8/2023 12:00:00 AM,140.149994,139.380005,141.580002,140.899994,139.883621,1135900
3/9/2023 12:00:00 AM,141.259995,138.300003,142.000000,138.929993,137.927811,1328900
3/10/2023 12:00:00 AM,139.190002,134.710007,139.440002,135.720001,134.740982,1896000
3/13/2023 12:00:00 AM,135.550003,134.759995,138.279999,136.690002,135.703995,1771400
3/14/2023 12:00:00 AM,138.440002,136.429993,139.600006,138.399994,137.401642,1255400
3/15/2023 12:00:00 AM,135.929993,132.199997,135.929993,134.029999,133.063171,2016700
3/16/2023 12:00:00 AM,133.970001,132.369995,137.050003,136.820007,135.833069,1789300
3/17/2023 12:00:00 AM,136.889999,132.729996,136.919998,133.179993,132.219299,2046000
3/20/2023 12:00:00 AM,133.139999,132.729996,135.380005,134.539993,133.569504,1704500
3/21/2023 12:00:00 AM,135.559998,135.220001,137.419998,137.009995,136.021683,1392300
3/22/2023 12:00:00 AM,136.960007,133.600006,137.539993,133.729996,132.765350,1268500
3/23/2023 12:00:00 AM,134.660004,129.369995,135.070007,131.130005,130.184097,3297900
3/24/2023 12:00:00 AM,130.139999,128.220001,131.979996,131.960007,131.008118,1571600
3/27/2023 12:00:00 AM,133.580002,132.729996,134.619995,133.070007,132.110092,1216300
3/28/2023 12:00:00 AM,132.539993,132.009995,133.309998,132.630005,131.673279,942600
3/29/2023 12:00:00 AM,133.949997,132.630005,134.240005,133.850006,132.884491,1002800
3/30/2023 12:00:00 AM,135.270004,133.320007,135.539993,134.490005,133.519867,1468200
3/31/2023 12:00:00 AM,135.399994,134.860001,138.729996,138.339996,137.342087,2579800
4/3/2023 12:00:00 AM,137.419998,136.009995,138.089996,137.860001,137.088516,1551800
4/4/2023 12:00:00 AM,138.250000,137.529999,139.110001,138.210007,137.436554,1778700
4/5/2023 12:00:00 AM,137.740005,136.669998,139.270004,138.089996,137.317230,2312100
4/6/2023 12:00:00 AM,138.009995,136.589996,138.130005,138.029999,137.257568,1206200
4/10/2023 12:00:00 AM,137.380005,135.860001,138.080002,138.020004,137.247620,1104600
4/11/2023 12:00:00 AM,138.869995,138.149994,139.929993,138.520004,137.744812,1241100
4/12/2023 12:00:00 AM,140.190002,137.820007,141.350006,138.360001,137.585709,1058400
4/13/2023 12:00:00 AM,139.179993,138.990005,141.479996,141.279999,140.489380,1030900
4/14/2023 12:00:00 AM,140.360001,138.929993,141.190002,139.199997,138.421021,954300
4/17/2023 12:00:00 AM,139.619995,138.889999,140.210007,140.190002,139.405487,1115500
4/18/2023 12:00:00 AM,140.729996,138.210007,140.990005,139.000000,138.222122,1218900
4/19/2023 12:00:00 AM,138.369995,137.679993,139.619995,138.929993,138.152512,1178400
4/20/2023 12:00:00 AM,136.860001,134.869995,137.050003,135.529999,134.771545,1325900
4/21/2023 12:00:00 AM,136.210007,136.210007,138.559998,138.500000,137.724930,1533600
4/24/2023 12:00:00 AM,138.800003,138.089996,139.520004,138.479996,137.705048,856700
4/25/2023 12:00:00 AM,136.539993,129.720001,136.779999,130.369995,129.640411,2154900
4/26/2023 12:00:00 AM,128.149994,128.110001,133.839996,133.119995,132.375046,3003800
