Date,open,close,low,high,volume     
1/3/2023 12:00:00 AM,297.769989,283.562012,304.170013,289.890015,289.890015,484800
1/4/2023 12:00:00 AM,295.739990,285.820007,299.605011,294.790009,294.790009,559000
1/5/2023 12:00:00 AM,289.790009,274.459991,290.654999,276.119995,276.119995,618000
1/6/2023 12:00:00 AM,278.239990,267.989990,278.239990,272.140015,272.140015,906700
1/9/2023 12:00:00 AM,276.670013,276.670013,291.070007,286.600006,286.600006,1156500
1/10/2023 12:00:00 AM,285.000000,278.290009,289.595001,289.070007,289.070007,834700
1/11/2023 12:00:00 AM,293.459991,287.399994,302.359985,301.420013,301.420013,577600
1/12/2023 12:00:00 AM,306.220001,293.260010,309.980011,306.790009,306.790009,563700
1/13/2023 12:00:00 AM,299.720001,299.720001,317.690002,315.700012,315.700012,515100
1/17/2023 12:00:00 AM,310.079987,304.309998,324.869995,321.869995,321.869995,581200
1/18/2023 12:00:00 AM,329.739990,316.000000,329.739990,318.420013,318.420013,503700
1/19/2023 12:00:00 AM,313.630005,305.829987,318.690002,311.820007,311.820007,458800
1/20/2023 12:00:00 AM,314.149994,311.929993,331.500000,329.940002,329.940002,651800
1/23/2023 12:00:00 AM,332.179993,329.299988,347.380005,345.929993,345.929993,683100
1/24/2023 12:00:00 AM,343.890015,340.709991,355.505005,346.920013,346.920013,1038700
1/25/2023 12:00:00 AM,333.350006,329.230011,352.869995,349.450012,349.450012,779400
1/26/2023 12:00:00 AM,359.959991,352.140015,362.524994,357.869995,357.869995,828100
1/27/2023 12:00:00 AM,352.549988,350.160004,362.519989,358.839996,358.839996,1138700
1/30/2023 12:00:00 AM,352.709991,342.420013,356.464996,348.989990,348.989990,521300
1/31/2023 12:00:00 AM,348.339996,334.779999,349.100006,347.010010,347.010010,1156600
2/1/2023 12:00:00 AM,351.500000,347.220001,371.054993,368.670013,368.670013,1121700
2/2/2023 12:00:00 AM,385.000000,377.309998,399.549988,397.959991,397.959991,1215300
2/3/2023 12:00:00 AM,381.140015,362.799988,384.750000,365.760010,365.760010,1239400
2/6/2023 12:00:00 AM,358.299988,356.695007,369.619995,359.929993,359.929993,779600
2/7/2023 12:00:00 AM,359.170013,352.390015,369.815002,369.399994,369.399994,496500
2/8/2023 12:00:00 AM,366.859985,360.850006,375.450012,362.170013,362.170013,410400
2/9/2023 12:00:00 AM,368.950012,354.804993,371.024994,358.649994,358.649994,524000
2/10/2023 12:00:00 AM,355.339996,343.380005,355.339996,345.450012,345.450012,555600
2/13/2023 12:00:00 AM,348.730011,342.320007,357.234985,354.029999,354.029999,476900
2/14/2023 12:00:00 AM,349.380005,347.980011,368.420013,363.920013,363.920013,651000
